index,R01_06_CO201,R01_06_FCI01,R01_06_MVV01,R01_06_TRU01,HTR9_VES01_SI01,HTR9_VES01_TUD01,HTR9_VEN02_Status,HTRK_RAD01_TR02
2025-09-07 08:00:00+00:00,444.0791667,0.0,0,24.5,353.6760768,17.77437607,1,25.2
2025-09-07 09:00:00+00:00,432.0833333,0.0,0,24.5,508.4126667,19.49205556,1,25.2
2025-09-07 10:00:00+00:00,426.4,0.0,0,24.8,589.4756993,19.37482857,1,25.2
2025-09-07 11:00:00+00:00,425.9714286,0.0,0,25.0,629.3731714,19.34785714,1,25.2
2025-09-07 12:00:00+00:00,423.7857143,0.0,0,25.2,635.8473083,19.95363636,1,25.2
2025-09-07 13:00:00+00:00,421.0,0.0,0,25.48571429,559.943022,20.4375,1,25.2
2025-09-07 14:00:00+00:00,419.9727273,0.0,0,26.0,470.5511717,20.22375,1,25.2
2025-09-07 15:00:00+00:00,418.0,0.0,0,26.7,353.4255034,20.79125,1,25.2
2025-09-07 16:00:00+00:00,417.57,0.0,0,27.2,214.2531238,20.60153846,1,25.2
2025-09-07 17:00:00+00:00,420.24,0.0,0,27.368,76.68064286,19.16,1,25.2
2025-09-07 18:00:00+00:00,429.2513709,0.0,0,27.1,0.8134288,17.1,1,25.2
2025-09-07 19:00:00+00:00,427.1221591,0.0,0,26.62671053,0.0,17.495,1,25.2
2025-09-07 20:00:00+00:00,425.5377778,0.0,0,26.46228571,0.0,18.16,1,25.2
2025-09-07 21:00:00+00:00,425.6903846,3.032967033,0,26.12241758,0.0,16.81272727,1,25.2
2025-09-07 22:00:00+00:00,446.9692308,61.06363636,0,25.5,0.0,16.06840909,1,25.2
2025-09-07 23:00:00+00:00,460.7777778,245.5,0,24.80921053,0.0,16.025,1,25.2
2025-09-08 00:00:00+00:00,461.0,246.9230769,0,24.28190476,0.0,16.25428571,1,25.2
2025-09-08 01:00:00+00:00,454.6,252.7027273,0,23.9371131,0.0,16.2,1,25.1
2025-09-08 02:00:00+00:00,456.0,253.9666667,0,23.6,0.0,14.92829692,1,25.0
2025-09-08 03:00:00+00:00,458.0,241.8429961,0,23.3,0.0,14.89,1,25.0
2025-09-08 04:00:00+00:00,459.0,249.7627273,0,23.3,0.0,16.0,1,24.9
2025-09-08 05:00:00+00:00,459.5692308,246.6884615,0,23.3,31.026,15.57431111,1,24.8
2025-09-08 06:00:00+00:00,491.0511111,243.4238636,0,23.3,157.112798,17.69093213,1,24.8
2025-09-08 07:00:00+00:00,598.0412698,248.5056277,0,23.92880952,290.21,18.91,1,24.8
2025-09-08 08:00:00+00:00,566.0,247.1111111,0,23.90842105,503.7273913,20.3225,1,24.8
