,R05_07_N_CO201,R05_07_N_FCI01_1,R05_07_N_MVV01,R05_07_N_TRU01,R05_07_V_CO201,R05_07_V_FCI01_1,R05_07_V_MVV01,R05_07_V_TRU01,HTR9_VEN01_TI01,HTR9_VES01_AZ01,HTR9_VES01_SI01,HTR9_VES01_SV01,HTR9_VES01_TUD01
2025-08-03 11:05:00+00:00,411.7272727,0,0,23.8,408.5236364,0,0,23.5,24.3,175.216,162.4663841,52.2,16.382
2025-08-03 11:10:00+00:00,411.56,0,0,23.8,409.4138192,0,0,23.5,24.3,176.9628571,278.3002996,52.26285714,16.36625
2025-08-03 11:15:00+00:00,413.0833333,0,0,23.864,409,0,0,23.5,24.3,179.206,538.5488772,52.3,16.75136364
2025-08-03 11:20:00+00:00,411.7444444,0,0,23.9,409.1,0,0,23.562,24.3,181.2953889,383.4698,52.3,17.11777778
2025-08-03 11:25:00+00:00,411.7764706,0,0,23.9,409.6450549,0,0,23.6,24.3,183.0315455,328.1576299,52.3,17.13914336
2025-08-03 11:30:00+00:00,411,0,0,23.9,409.1,0,0,23.6,24.3,184.7654545,654.2246587,52.27818182,17.00416667
2025-08-03 11:35:00+00:00,411.0588235,0,0,23.9,409.6571429,0,0,23.6,24.3,187.0742857,760.302581,52.14,17.38
2025-08-03 11:40:00+00:00,411,0,0,23.9,409.956452,0,0,23.6,24.3,187.921875,627.5635784,52.1,17.5178125
2025-08-03 11:45:00+00:00,411,0,0,23.94285714,410.148254,0,0,23.6,24.3,190.2133333,613.3205692,51.95777778,17.78706667
2025-08-03 11:50:00+00:00,410.4214286,0,0,24,408.6061538,0,0,23.7,24.3,192.4693333,350.7992576,51.81666667,18.06666667
2025-08-03 11:55:00+00:00,411,0,0,24,407.4666667,0,0,23.7,24.3,194.3614921,313.1426923,51.63088889,18.1
2025-08-03 12:00:00+00:00,410.1575758,0,0,24,409.258,0,0,23.7,24.3,196.15,266.2209762,51.485,17.78459091
2025-08-03 12:05:00+00:00,411.2985965,0,0,24,409.275974,0,0,23.7,24.3,197.8318601,232.1069909,51.28841958,17.80541171
2025-08-03 12:10:00+00:00,409.9988889,0,0,24,408.2214939,0,0,23.7,24.3,199.9595238,147.6707991,51.01333333,17.78511111
2025-08-03 12:15:00+00:00,411.3034436,0,0,24,408.786791,0,0,23.7,24.3,200.6714286,182.2556985,50.926,17.65053333
2025-08-03 12:20:00+00:00,411.1454545,0,0,24.06,409.6074074,0,0,23.7,24.3,203.0095873,348.4891,50.6,17.72909091
2025-08-03 12:25:00+00:00,410.3777778,0,0,24.1,409.8129155,0,0,23.715,24.3,204.722707,552.7767548,50.29562937,18.0090293
2025-08-03 12:30:00+00:00,411.2660971,0,0,24.1,408.7576023,0,0,23.79333333,24.3,207.155,650.7631111,49.86,18.53527778
2025-08-03 12:35:00+00:00,409.0919118,0,0,24.1,408.0901961,0,0,23.8,24.3,208.7080808,1024.929605,49.57929293,18.47700758
2025-08-03 12:40:00+00:00,411.3954887,0,0,24.1,409.376,0,0,23.8,24.3,210.6730556,437.1668,49.14,18.98
2025-08-03 12:45:00+00:00,409.9727858,0,0,24.1,408.2841026,0,0,23.8,24.3,212.2975,813.3118,48.8225,18.90125
2025-08-03 12:50:00+00:00,409.9170189,0,0,24.1,408.4570273,0,0,23.81333333,24.3,213.489,328.527698,48.511,18.90135897
2025-08-03 12:55:00+00:00,411.8,0,0,24.2,407.75,0,0,23.9,24.3,215.7752381,470.1562333,47.9727619,18.56444444
2025-08-03 13:00:00+00:00,411.1549451,0,0,24.2,407.3193403,0,0,23.9,24.3,217.4244048,729.7653775,47.53214286,18.24
2025-08-03 13:05:00+00:00,411.322807,0,0,24.2,408,0,0,23.9,24.3,217.8,937.62,47.4,18.2
2025-08-03 13:10:00+00:00,410.0635294,0,0,24.2,407.6076768,0,0,23.99514286,24.3,220.4931818,503.8618727,46.64690559,18.39782051
2025-08-03 13:15:00+00:00,409.9466667,0,0,24.24,407.3992879,0,0,24,24.3,222.5246667,237.6485618,46.068,18.45666667
2025-08-03 13:20:00+00:00,409.6118954,0,0,24.3,408.1030303,0,0,24,24.3,223.7181667,233.2434993,45.68666667,18.24892857
2025-08-03 13:25:00+00:00,410.875,0,0,24.3,408.325,0,0,24,24.3,225.3385417,501.9287897,45.13333333,18.165
2025-08-03 13:30:00+00:00,410.9922222,0,0,24.3,407.5818182,0,0,24,24.3,226.3742857,721.3601429,44.78,18.45142857
2025-08-03 13:35:00+00:00,409.36,0,0,24.3,407.9333333,0,0,24.1,24.3,227.8436667,242.18725,44.26866667,18.546
2025-08-03 13:40:00+00:00,410.5112299,0,0,24.3,408.1883211,0,0,24.1,24.3,229.605,227.3637582,43.65,18.08222222
2025-08-03 13:45:00+00:00,409.0315789,0,0,24.3,407.1038136,0,0,24.1,24.3,230.4952381,310.0621984,43.36833333,17.81
2025-08-03 13:50:00+00:00,410.0705882,0,0,24.3,407.4,0,0,24.1,24.3,232.5428571,222.5758623,42.50571429,17.8
2025-08-03 13:55:00+00:00,410.1142857,0,0,24.383,407.9727273,0,0,24.1,24.32,234.01,114.3128636,41.888,17.97833333
2025-08-03 14:00:00+00:00,410.64,0,0,24.4,407.6909091,0,0,24.1,24.4,235.5705,214.6819234,41.207,17.6516
2025-08-03 14:05:00+00:00,410.1705882,0,0,24.4,407,0,0,24.1,24.4,236.9097619,342.5938889,40.64071429,17.30384615
2025-08-03 14:10:00+00:00,411.1766082,0,0,24.4,407,0,0,24.1,24.4,238.1975,179.3912211,40.0575,17.39822222
2025-08-03 14:15:00+00:00,410.3176471,0,0,24.4,407.1,0,0,24.1,24.4,239.4215385,93.01211111,39.47,17.20769231
2025-08-03 14:20:00+00:00,410.6605423,0,0,24.4,408.28,0,0,24.1,24.4,240.9001709,182.1570439,38.76376068,16.10844444
2025-08-03 14:25:00+00:00,410.2227273,0,0,24.4,408.7916667,0,0,24.1,24.4,242.0864286,306.0466071,38.2,15.98888889
2025-08-03 14:30:00+00:00,410.9090476,0,0,24.4,408.010352,0,0,24.1,24.4,243.2272222,299.1723206,37.63277778,16.32533333
2025-08-03 14:35:00+00:00,410.017094,0,0,24.4,407.4333333,0,0,24.1,24.4,244.4966667,165.1206637,36.96083333,16.41166667
2025-08-03 14:40:00+00:00,409.1456061,0,0,24.4,408.5128226,0,0,24.1,24.4,245.4071429,161.7878099,36.53365385,16.48746667
2025-08-03 14:45:00+00:00,409.88,0,0,24.4,408.85,0,0,24.1,24.4,247.06,238.848092,35.64571429,16.57925
2025-08-03 14:50:00+00:00,409.0848485,0,0,24.4,408.2166667,0,0,24.1,24.4,248.2946667,138.1571294,34.95066667,16.70083333
2025-08-03 14:55:00+00:00,408.8191919,0,0,24.4,407.4703849,0,0,24.1,24.4,249.3526429,95.40247897,34.34735714,16.7
2025-08-03 15:00:00+00:00,409.7652174,0,0,24.4,407.9069167,0,0,24.1,24.4,250.6125455,174.0493156,33.614,16.54166667
