,HTRK_VEN01_EM01_P,HTRK_VEN01_FCI01
2025-09-25 11:30:00+00:00,15.09607576,24466.18251
2025-09-25 11:35:00+00:00,15.28974242,24516.83575
2025-09-25 11:40:00+00:00,15.10987013,24627.148
2025-09-25 11:45:00+00:00,15.0410414,24714.8125
2025-09-25 11:50:00+00:00,15.36931757,24808.80339
2025-09-25 11:55:00+00:00,15.3357837,24839.4491
2025-09-25 12:00:00+00:00,15.32175134,24860.38917
2025-09-25 12:05:00+00:00,15.70257421,24917.78142
2025-09-25 12:10:00+00:00,15.61754839,25087.36523
2025-09-25 12:15:00+00:00,15.51875931,25037.34425
2025-09-25 12:20:00+00:00,15.66096882,24948.83434
2025-09-25 12:25:00+00:00,16.1665,24844.06141
2025-09-25 12:30:00+00:00,15.16828125,24751.82455
2025-09-25 12:35:00+00:00,15.67814135,24845.54362
2025-09-25 12:40:00+00:00,15.44207273,24976.55455
2025-09-25 12:45:00+00:00,15.69381609,24967.41765
2025-09-25 12:50:00+00:00,15.68620952,25007.33182
2025-09-25 12:55:00+00:00,15.70868,24886.94
2025-09-25 13:00:00+00:00,15.64683333,24885.50725
2025-09-25 13:05:00+00:00,15.27925,24906.875
2025-09-25 13:10:00+00:00,15.26,24912.13
2025-09-25 13:15:00+00:00,15.31704762,24682.29026
2025-09-25 13:20:00+00:00,15.22511863,24425.75998
2025-09-25 13:25:00+00:00,15.0283621,24318.03504
2025-09-25 13:30:00+00:00,14.74389254,23935.58375
2025-09-25 13:35:00+00:00,14.51237344,23784.718
2025-09-25 13:40:00+00:00,14.3068655,23642.41289
2025-09-25 13:45:00+00:00,14.24846154,23462.86933
2025-09-25 13:50:00+00:00,14.25905216,23340.574
2025-09-25 13:55:00+00:00,13.9692381,23215.274
2025-09-25 14:00:00+00:00,13.8731,23109.52918
2025-09-25 14:05:00+00:00,13.8926796,22878.73167
2025-09-25 14:10:00+00:00,13.81272272,22841.76831
2025-09-25 14:15:00+00:00,13.68671497,22823.28545
2025-09-25 14:20:00+00:00,13.58295127,22835.296
2025-09-25 14:25:00+00:00,13.70967273,22791.45851
2025-09-25 14:30:00+00:00,13.61437879,22865.23025
2025-09-25 14:35:00+00:00,13.56652941,22858.27985
2025-09-25 14:40:00+00:00,13.66229167,22872.64057
2025-09-25 14:45:00+00:00,13.30386905,22914.59111
2025-09-25 14:50:00+00:00,13.51284848,22655.04025
2025-09-25 14:55:00+00:00,13.54977778,22601.8124
2025-09-25 15:00:00+00:00,10.75880076,19257.21118
2025-09-25 15:05:00+00:00,3.734104377,7629.32569
2025-09-25 15:10:00+00:00,3.946,7532.968
2025-09-25 15:15:00+00:00,3.9985774,7308.068333
2025-09-25 15:20:00+00:00,4.033607143,7538.697209
2025-09-25 15:25:00+00:00,3.817858293,7390.01807
2025-09-25 15:30:00+00:00,4.057244444,7616.82
2025-09-25 15:35:00+00:00,4.113633893,7616.82
2025-09-25 15:40:00+00:00,4.115116883,7616.82
2025-09-25 15:45:00+00:00,3.996868233,7616.82
