,HTRK_VEN01_COM01_P,HTRK_VEN01_EM01_P
2025-05-26 12:30:00+00:00,0.0,14.6098856886
2025-05-26 12:45:00+00:00,0.0,14.8072252174
2025-05-26 13:00:00+00:00,0.0,14.8219992236
2025-05-26 13:15:00+00:00,-3.5134434193,14.8662685269
2025-05-26 13:30:00+00:00,-7.7015522139,15.4313025956
2025-05-26 13:45:00+00:00,-4.436179215,15.0993348659
2025-05-26 14:00:00+00:00,-1.9387231816,5.1160732077
2025-05-26 14:15:00+00:00,-0.14431372550000002,3.1300247633
2025-05-26 14:30:00+00:00,-2.9968735602,3.2749476593
2025-05-26 14:45:00+00:00,-6.3461013645,3.2897982456
2025-05-26 15:00:00+00:00,-1.6392857143000001,3.2678660555
2025-05-26 15:15:00+00:00,-1.7636130535999999,3.250028231
2025-05-26 15:30:00+00:00,-2.3861598441,3.2648015605
2025-05-26 15:45:00+00:00,-5.5438311688,3.1883676696
2025-05-26 16:00:00+00:00,-2.2856896552,3.1566547893
2025-05-26 16:15:00+00:00,-0.5185185185,3.0698518519
2025-05-26 16:30:00+00:00,-4.0367242832,3.1750881727
2025-05-26 16:45:00+00:00,-3.7581901182,3.1583780096
2025-05-26 17:00:00+00:00,-1.8938086739000002,3.157617335
2025-05-26 17:15:00+00:00,-1.0666666667,3.0191534392
2025-05-26 17:30:00+00:00,0.0,2.8697764550000002
2025-05-26 17:45:00+00:00,0.0,2.896162616
2025-05-26 18:00:00+00:00,-0.290711241,1.2516502984
2025-05-26 18:15:00+00:00,0.0,0.03
2025-05-26 18:30:00+00:00,0.0,0.03
2025-05-26 18:45:00+00:00,0.0,0.03
2025-05-26 19:00:00+00:00,0.0,0.03
2025-05-26 19:15:00+00:00,0.0,0.03
2025-05-26 19:30:00+00:00,0.0,0.03
2025-05-26 19:45:00+00:00,0.0,0.03
2025-05-26 20:00:00+00:00,0.0,0.03
2025-05-26 20:15:00+00:00,0.0,0.0605128205
2025-05-26 20:30:00+00:00,0.0,0.11
2025-05-26 20:45:00+00:00,0.0,0.11
2025-05-26 21:00:00+00:00,0.0,0.11
2025-05-26 21:15:00+00:00,0.0,0.1111380117
2025-05-26 21:30:00+00:00,0.0,0.11
2025-05-26 21:45:00+00:00,0.0,0.11
2025-05-26 22:00:00+00:00,0.0,0.11
2025-05-26 22:15:00+00:00,0.0,0.11
2025-05-26 22:30:00+00:00,0.0,0.11
2025-05-26 22:45:00+00:00,0.0,0.11
2025-05-26 23:00:00+00:00,0.0,0.11
2025-05-26 23:15:00+00:00,0.0,0.11
2025-05-26 23:30:00+00:00,0.0,0.11
2025-05-26 23:45:00+00:00,0.0,0.11
2025-05-27 00:00:00+00:00,0.0,0.11
2025-05-27 00:15:00+00:00,0.0,0.11
2025-05-27 00:30:00+00:00,0.0,0.11
2025-05-27 00:45:00+00:00,0.0,0.11
