Unnamed: 0,R01_07_CO201,R01_07_FCI01,R01_07_TRU01,HTR9_VES01_AZ01,HTR9_VES01_SI01,HTR9_VES01_SV01,HTR9_VES01_TUD01,HTRK_VEN01_TI01,R01_06_TRU01,R01_08_TRU01
2025-08-11 18:00:00+00:00,448.31022852499996,53.231649469999994,25.286932775,292.908265325,12.1001909615,2.6366726625,18.637006477499998,17.01764117,25.306231895,24.6130952375
2025-08-11 19:00:00+00:00,446.3999603,5.1812516725,25.1583333325,305.35452407500003,0.30992669825,-4.783723356,17.9809347125,17.0377592575,25.1385383275,24.5157539675
2025-08-11 20:00:00+00:00,443.1314532,0.0,25.051153845,318.5982463,0.0,-11.22036655575,17.1410748075,17.702991835,25.05777892,24.5
2025-08-11 21:00:00+00:00,446.381247775,90.5849943675,24.78716725,332.70012065,0.0,-16.130544297500002,17.26964614,18.128894557499997,24.879048085,24.283668335
2025-08-11 22:00:00+00:00,455.38474229999997,248.22023439999998,24.365517,347.54502355,0.0,-19.08150986,16.421554385,17.93602564,24.505594155,23.92370684
2025-08-11 23:00:00+00:00,456.6815114,269.0135042,23.832094355,116.86293405975,0.0,-19.86558948,16.165351655,17.7060622725,24.12394302,23.494043365
2025-08-12 00:00:00+00:00,455.90680257500003,267.561646575,23.462808697499998,17.778106325,0.0,-18.396399325,15.447078615,16.94761905,23.856989114999998,23.062358822500002
2025-08-12 01:00:00+00:00,454.63599834999997,268.00097707500004,23.1811407175,32.5101818475,0.0,-14.742604615,14.9315873025,16.31917238,23.529828055,22.769419642499997
2025-08-12 02:00:00+00:00,457.848115875,269.71837375,23.06838865,46.3629379375,0.0,-9.2823288965,14.759722570000001,16.080660430000002,23.39929473,22.5116114725
2025-08-12 03:00:00+00:00,459.0598711,52.428667465000004,22.98555511,59.2230361675,2.243718813,-2.532178352,14.3808123025,16.8320248775,23.2900595225,22.62548485
2025-08-12 04:00:00+00:00,460.26499915,67.722151415,23.13581044,71.4716029125,19.032049890000003,5.107281575,14.597603775,16.895708335000002,23.5112608225,22.8351041675
2025-08-12 05:00:00+00:00,472.18131170000004,123.44512975,23.2,83.62908745,58.7643252975,13.4874262825,15.07679622,17.035978019999998,23.4253962625,22.9274908425
2025-08-12 06:00:00+00:00,515.68468435,194.467642575,23.3181129625,96.0524527125,104.97563299000001,22.0362284625,16.179494955,17.198414115000002,23.5128838025,23.27693669
2025-08-12 07:00:00+00:00,572.809408375,267.729254825,23.5506643925,109.59289655,219.981405225,30.5106261675,17.60974478,17.1892773875,23.7442332575,23.506957515
2025-08-12 08:00:00+00:00,515.526593825,271.352452025,23.6404706525,124.512201225,420.9803132,38.085423215,18.7143561075,17.2450640575,24.51871793,23.763603535
2025-08-12 09:00:00+00:00,506.357414175,271.57578359999997,23.54720236,142.166982725,455.7439665,44.4586177325,19.976035995,17.3042460325,24.2430995175,23.946663
2025-08-12 10:00:00+00:00,550.601444475,269.730206575,23.6335274975,162.148457575,468.81068805,48.48584656,20.6890379375,17.14507906,24.432133295,24.26802868
2025-08-12 11:00:00+00:00,548.910246025,267.2303452,23.932024572499998,184.069248975,523.936805,49.56506236,21.360669125,17.149663985,24.58871059,24.270902845000002
2025-08-12 12:00:00+00:00,551.177911575,268.69146845,23.9945922325,205.38719375,500.644238,47.4114180475,22.71069886,17.09240232,24.6147572675,24.20738889
2025-08-12 13:00:00+00:00,507.0128817,270.9516265,24.07569941,224.6162577,330.4555875,42.459648595,22.868943955,17.0268898825,24.4141017325,23.9612345975
2025-08-12 14:00:00+00:00,465.38047095,68.404474705,24.34145893,241.130166125,255.85857425,35.5789180375,23.1921261325,15.875677,24.571157865,24.3537837125
2025-08-12 15:00:00+00:00,465.873236775,53.445336235,24.6266719575,255.582090925,159.14925595,27.541742605,22.6698508475,17.4512698425,24.79220238,24.88642857
2025-08-12 16:00:00+00:00,467.2477505,54.9759486975,24.7,268.4525339,72.67450622,19.06990176,21.38481975,16.5750696625,24.83577946,24.9657808
2025-08-12 17:00:00+00:00,457.7071346,54.938906035,24.5939824425,280.64411225,31.7697642425,10.556769147,21.621024,17.064071820000002,24.6870518675,24.4227916675
2025-08-12 18:00:00+00:00,460.242470925,54.834153692499996,24.433451485,292.840340325,5.36461537625,2.3016108277500003,20.67963837,16.98278999,24.473632062500002,24.163894905
2025-08-12 19:00:00+00:00,461.3110561,2.529761905,24.4481729175,305.367968175,0.0756754355,-5.1199222065,19.9316692375,18.2079948875,24.5077837125,24.078571427500002
2025-08-12 20:00:00+00:00,452.30789722500003,0.0,24.5,318.562234025,0.0,-11.53480728775,19.6335385775,18.2446428575,24.5,24.1
2025-08-12 21:00:00+00:00,452.520843825,93.24965478,24.368296945,332.590052275,0.0,-16.392919905,19.106862245,19.6435158725,24.580175535000002,23.960853175
2025-08-12 22:00:00+00:00,456.9775978,251.390739175,24.09197737,347.5134445,0.0,-19.3790959025,18.9220320075,19.675121755,24.2648082075,23.776158375
2025-08-12 23:00:00+00:00,459.7222578,271.27534485,23.7603442125,116.69278837224999,0.0,-20.170655845,18.548638167500002,19.32668254,23.99531543,23.4700027025
2025-08-13 00:00:00+00:00,459.53669275,270.78105655,23.5100833325,18.0441448525,0.0,-18.6635408,18.2986734175,18.7675000025,23.8201768025,23.203211805000002
2025-08-13 01:00:00+00:00,460.23202442499996,271.125849975,23.333727855,32.795638735,0.0,-14.971401935,17.995921575,18.316050215,23.68686045,22.941473665
2025-08-13 02:00:00+00:00,464.49390355,270.359755425,23.123075565,46.575445345,0.0,-9.51412281225,17.423059602499997,17.8229716125,23.491177295,22.7182655425
2025-08-13 03:00:00+00:00,464.126625875,65.83062233,23.10282258,59.320471032499995,1.6686252465,-2.80564943825,18.0962584975,17.05499277,23.387869925,22.7774881375
2025-08-13 04:00:00+00:00,466.617036875,79.4920143775,23.2,71.8036956875,46.8311916775,4.9920978,18.30707566,17.03499817,23.517762445,22.9
2025-08-13 05:00:00+00:00,471.670065875,140.8611484,23.1985,83.7331879775,167.536326,13.19466617975,19.455416495,17.289866455000002,23.367088447500002,22.9833333325
2025-08-13 06:00:00+00:00,568.02875365,206.650827275,23.34164016,96.374821905,303.168721725,21.889174235,20.97474675,17.28805952,23.836374835,23.0404404525
2025-08-13 07:00:00+00:00,628.157528575,270.92932237499997,23.694205145,109.7590078,403.712250625,30.2243240225,22.311936537500003,17.28804945,23.9921667275,23.83282609
2025-08-13 08:00:00+00:00,655.25949075,269.33262702499997,23.9821532875,124.60925975,525.283267625,37.7859542625,23.33219706,17.24984127,23.8573767425,23.9690165375
2025-08-13 09:00:00+00:00,578.5805444499999,267.22817205,23.992980945,142.06395337499998,616.507836825,44.080998815,24.423450017500002,17.23591466,23.908670325000003,23.9643253975
2025-08-13 10:00:00+00:00,708.38432605,270.37666285,24.291062857500002,162.43888065,668.670235375,48.209776935,25.444974925,16.8193015875,23.8611834125,23.8458452375
2025-08-13 11:00:00+00:00,721.1076903000001,272.36798945,24.626594700000002,184.001123075,683.083198975,49.2824149775,25.675339389999998,17.150951795,24.178000055000002,24.41701389
2025-08-13 12:00:00+00:00,665.2544018,271.34210855000003,24.6298536625,205.5713078,663.4628266249999,47.0817945675,25.485092675,17.637950245,24.664370644999998,24.868780372499998
2025-08-13 13:00:00+00:00,655.86891955,267.95128877499997,24.917475025,224.439842075,608.610506625,42.2022654125,25.62431088,16.19540415,24.6279444275,25.25078505
2025-08-13 14:00:00+00:00,532.0574558000001,60.8764403375,25.5057471625,240.9794527,518.3649153,35.31870673,24.86648361,16.244105157499998,25.082367305000002,25.0643716925
2025-08-13 15:00:00+00:00,453.0955441,53.7627680925,26.07746293,255.24287555,398.5815551,27.375161195,24.12221852,17.603123015,25.8766492575,25.3376580225
2025-08-13 16:00:00+00:00,449.41208645,53.709106455,26.568650015,268.234725975,255.4500344,18.856071505,24.2943181825,16.628071339999998,26.43921672,25.643461537500002
2025-08-13 17:00:00+00:00,445.370770675,54.411929657499996,26.6741727975,280.393238875,117.70734322,10.36989809225,23.980496567499998,16.924630370000003,26.6285622925,25.784829395000003
2025-08-13 18:00:00+00:00,442.658936625,54.3022217425,26.389849845,292.710068875,14.91809521375,2.053560216,21.9722609725,16.77560764,26.346753315,25.604930555
2025-08-13 19:00:00+00:00,438.9709482,2.48251929225,26.161011905,305.250360525,0.17370748125,-5.42220559,21.3131921375,17.734712797500002,26.0664722525,25.4540327375
2025-08-13 20:00:00+00:00,434.752889175,0.0,25.928376395,318.40546977500003,0.0,-11.80941007175,21.1452642,17.894301585,25.8027990375,25.3227664
2025-08-13 21:00:00+00:00,436.731241475,85.68041825,25.5498728725,332.62502875,0.0,-16.7285077475,20.6442616775,20.72503419,25.508220295,24.879423505
2025-08-13 22:00:00+00:00,450.26319497500003,256.3066609,25.09837902,347.5312948,0.0,-19.7121767775,19.9943570525,20.2998827375,25.195052215,24.5004118725
2025-08-13 23:00:00+00:00,452.182164225,266.43801817499997,24.6576724325,122.87491739475,0.0,-20.476901265000002,19.7065097425,19.78547619,24.661045272499997,24.2309552325
2025-08-14 00:00:00+00:00,451.83244817499997,267.172317625,24.31947227,18.1857456975,0.0,-18.9368541925,19.34864167,19.586538462500002,24.250329055,23.9270171975
2025-08-14 01:00:00+00:00,456.114081725,266.709879125,24.0009604125,32.8746635725,0.0,-15.2741052975,19.18063358,19.1769358975,23.919440475000002,23.6452197725
2025-08-14 02:00:00+00:00,462.173576075,266.713479475,23.694694185,46.68511072,0.0,-9.8086301025,18.644638005,18.6006565675,23.7120401725,23.4358036675
2025-08-14 03:00:00+00:00,460.072131275,63.4160399125,23.6809308125,59.5345949225,1.065878174,-3.045848777,19.4107803425,17.405853175,23.838795095,23.3
2025-08-14 04:00:00+00:00,458.7950897,150.58346343,23.7,71.9712645475,20.15765075475,4.7178724674999994,19.90293858,17.194290455,24.01609542,23.3
2025-08-14 05:00:00+00:00,470.938038625,268.3006044,23.50290188,84.05806357750001,50.5786868625,13.046421901,20.1721831775,17.13534327,23.87164139,23.32558839
2025-08-14 06:00:00+00:00,629.302302725,268.268971875,23.7273371975,96.44455530249999,111.9086259675,21.5616911975,20.7771412375,17.3072025625,24.1392370825,23.3511745925
2025-08-14 07:00:00+00:00,581.010892825,268.26307365,24.03203548,109.96579224999999,277.96535485,30.004979615,22.679965045,17.17229487,24.4425155,23.707762442499998
2025-08-14 08:00:00+00:00,566.434252475,267.1947738,24.0094739525,124.84827315,517.4946758250001,37.539089437499996,24.287956525,17.3145355825,24.7932247275,23.5650600925
2025-08-14 09:00:00+00:00,518.500219625,267.8755301,24.0173143275,142.43395470000002,524.4420193,43.8739121975,24.878647727500002,17.2758599775,24.8047209775,24.011584965
2025-08-14 10:00:00+00:00,501.01617945,268.83858710000004,23.989136905,162.569565075,452.97693595,47.912247795,24.8438058775,16.673574175,24.6489058375,24.44307452
2025-08-14 11:00:00+00:00,528.35071055,272.2560168,23.9396309075,184.0909631,553.291286425,48.9479549425,24.74861193,16.990670635,24.616455355,24.4286494725
2025-08-14 12:00:00+00:00,570.611889,270.33728747500004,24.23926527,205.2777922,656.4482684249999,46.801832357500004,24.6682207325,17.0519512975,24.571701605,24.3162815225
2025-08-14 13:00:00+00:00,486.767714675,265.1207531,24.1027623775,224.17271555,267.51243777499997,41.9297900025,24.037230882499998,16.73430708,24.4735304175,24.109892415
2025-08-14 14:00:00+00:00,688.876776625,273.044136325,24.5014597725,240.88437995,129.730502025,35.016269892500006,23.5961699675,16.816471305,24.3653299725,24.739966465000002
